model,epoch,type:P,type:R,type:F1,PerpInd:P,PerpInd:R,PerpInd:F1,PerpOrg:P,PerpOrg:R,PerpOrg:F1,Target:P,Target:R,Target:F1,Victim:P,Victim:R,Victim:F1,Weapon:P,Weapon:R,Weapon:F1,mAvg:P,mAvg:R,mAvg:F1
BERT-Small,68,82.09,54.73,65.67,55.17,28.07,37.21,37.68,20.63,26.67,26.58,14.29,18.58,48.89,22.00,30.34,63.64,41.79,50.45,55.68,31.40,40.16
BERT-Small,80,81.48,54.73,65.48,51.19,25.15,33.73,45.10,18.25,25.99,37.14,17.69,23.96,64.58,31.00,41.89,65.96,46.27,54.39,60.69,32.51,42.34
BERT-Small,5,100.00,6.97,13.02,58.33,4.09,7.65,7.69,0.79,1.44,7.69,0.68,1.25,0.00,0.00,0.00,0.00,0.00,0.00,43.40,2.83,5.32
BERT-Small,29,89.09,48.76,63.02,52.94,26.32,35.16,24.36,15.08,18.63,22.62,12.93,16.45,28.12,9.00,13.64,73.68,20.90,32.56,50.00,25.12,33.44
BERT-Small,7,95.00,18.91,31.54,37.84,8.19,13.46,21.05,6.35,9.76,14.81,2.72,4.60,71.43,5.00,9.35,0.00,0.00,0.00,46.31,8.50,14.36
BERT-Small,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Small,58,82.27,57.71,67.84,61.33,26.90,37.40,38.55,25.40,30.62,29.55,17.69,22.13,50.91,28.00,36.13,77.78,31.34,44.68,57.36,33.13,42.00
BERT-Small,3,100.00,5.97,11.27,16.67,1.17,2.19,7.69,0.79,1.44,33.33,1.36,2.61,0.00,0.00,0.00,0.00,0.00,0.00,39.53,2.09,3.98
BERT-Small,54,82.54,51.74,63.61,52.87,26.90,35.66,42.62,20.63,27.81,36.59,19.73,25.63,38.10,24.00,29.45,60.61,29.85,40.00,55.31,30.67,39.46
BERT-Small,21,91.51,48.26,63.19,66.10,22.81,33.91,38.98,18.25,24.86,30.95,17.69,22.51,37.14,13.00,19.26,81.82,14.93,25.25,58.47,25.62,35.63
BERT-Small,56,82.44,53.73,65.06,53.01,25.73,34.65,40.26,24.60,30.54,26.97,16.33,20.34,49.06,26.00,33.99,56.00,20.90,30.43,53.93,30.42,38.90
BERT-Small,23,92.31,35.82,51.61,60.42,16.96,26.48,27.78,11.90,16.67,18.75,8.16,11.37,47.83,11.00,17.89,66.67,2.99,5.71,52.22,17.36,26.06
BERT-Small,50,82.58,54.23,65.47,56.82,29.24,38.61,44.62,23.02,30.37,28.09,17.01,21.19,50.00,25.00,33.33,72.73,35.82,48.00,57.33,32.27,41.29
BERT-Small,25,86.78,52.24,65.22,54.22,26.32,35.43,33.78,19.84,25.00,21.25,12.24,15.54,19.23,5.00,7.94,83.33,7.46,13.70,51.79,25.00,33.72
BERT-Small,9,92.75,31.84,47.41,52.54,18.13,26.96,21.21,11.11,14.58,16.98,6.12,9.00,0.00,0.00,0.00,0.00,0.00,0.00,47.01,14.53,22.20
BERT-Small,52,84.92,53.23,65.44,53.57,26.32,35.29,39.74,24.60,30.39,28.57,14.97,19.64,55.26,21.00,30.43,70.00,31.34,43.30,57.04,30.42,39.68
BERT-Small,27,88.89,51.74,65.41,48.89,25.73,33.72,33.85,17.46,23.04,30.23,17.69,22.32,48.65,18.00,26.28,100.00,7.46,13.89,54.75,26.97,36.14
BERT-Small,48,83.20,51.74,63.80,51.76,25.73,34.38,33.33,24.60,28.31,34.33,15.65,21.50,62.50,30.00,40.54,64.71,32.84,43.56,56.19,31.28,40.19
BERT-Small,39,84.92,53.23,65.44,55.42,26.90,36.22,38.27,24.60,29.95,24.55,18.37,21.01,26.67,8.00,12.31,64.29,26.87,37.89,51.75,29.19,37.32
BERT-Small,37,83.46,55.22,66.47,53.85,28.65,37.40,37.97,23.81,29.27,28.41,17.01,21.28,40.54,15.00,21.90,65.00,19.40,29.89,54.24,29.93,38.57
BERT-Small,42,83.47,50.25,62.73,52.56,23.98,32.93,29.87,18.25,22.66,29.76,17.01,21.65,60.00,24.00,34.29,52.63,29.85,38.10,53.42,28.82,37.44
BERT-Small,35,88.29,48.76,62.82,58.11,25.15,35.10,32.91,20.63,25.37,23.86,14.29,17.87,50.00,19.00,27.54,87.50,10.45,18.67,53.77,26.35,35.37
BERT-Small,40,85.71,56.72,68.26,61.73,29.24,39.68,42.42,22.22,29.17,23.66,14.97,18.33,48.57,17.00,25.19,76.00,28.36,41.30,57.74,30.79,40.16
BERT-Small,33,84.68,46.77,60.26,50.60,24.56,33.07,34.62,21.43,26.47,26.67,19.05,22.22,29.17,14.00,18.92,58.82,14.93,23.81,48.64,26.48,34.29
BERT-Small,46,81.95,54.23,65.27,51.69,26.90,35.38,33.33,20.63,25.49,22.35,12.93,16.38,46.15,18.00,25.90,47.37,13.43,20.93,51.24,27.96,36.18
BERT-Small,31,80.95,50.75,62.39,52.73,16.96,25.66,33.82,18.25,23.71,29.76,17.01,21.65,53.19,25.00,34.01,66.67,17.91,28.24,54.27,26.60,35.70
BERT-Small,44,81.88,56.22,66.67,59.72,25.15,35.39,46.15,23.81,31.41,37.35,21.09,26.96,52.63,30.00,38.22,66.67,44.78,53.57,60.22,34.11,43.55
BERT-Mini,13,93.67,36.82,52.86,38.46,17.54,24.10,16.00,9.52,11.94,8.20,3.40,4.81,25.00,2.00,3.70,0.00,0.00,0.00,40.86,15.15,22.10
BERT-Mini,66,84.50,54.23,66.06,53.93,28.07,36.92,33.33,22.22,26.67,21.05,10.88,14.35,39.06,25.00,30.49,54.55,17.91,26.97,51.29,29.31,37.30
BERT-Mini,11,90.91,24.88,39.06,43.75,12.28,19.18,21.43,9.52,13.19,10.64,3.40,5.15,42.86,9.00,14.88,0.00,0.00,0.00,41.99,11.95,18.60
BERT-Mini,64,84.43,51.24,63.78,55.95,27.49,36.86,38.03,21.43,27.41,31.58,16.33,21.52,35.09,20.00,25.48,68.00,25.37,36.96,54.71,29.31,38.17
BERT-Mini,88,85.48,52.74,65.23,53.66,25.73,34.78,34.15,22.22,26.92,28.77,14.29,19.09,45.28,24.00,31.37,61.76,31.34,41.58,54.46,30.05,38.73
BERT-Mini,17,84.11,44.78,58.44,46.84,21.64,29.60,24.29,13.49,17.35,15.58,8.16,10.71,28.57,8.00,12.50,100.00,2.99,5.80,45.73,20.44,28.26
BERT-Mini,62,87.61,49.25,63.06,60.53,26.90,37.25,30.99,17.46,22.34,22.92,14.97,18.11,23.08,9.00,12.95,81.25,19.40,31.33,51.34,25.99,34.51
BERT-Mini,15,91.95,39.80,55.56,40.24,19.30,26.09,20.00,12.70,15.53,12.50,6.80,8.81,20.00,7.00,10.37,40.00,2.99,5.56,40.11,18.23,25.06
BERT-Mini,60,78.91,50.25,61.40,59.77,30.41,40.31,32.89,19.84,24.75,29.33,14.97,19.82,37.21,16.00,22.38,62.50,22.39,32.97,53.35,28.45,37.11
BERT-Mini,86,84.38,53.73,65.65,50.57,25.73,34.11,34.18,21.43,26.34,30.99,14.97,20.18,48.48,32.00,38.55,56.82,37.31,45.05,54.32,31.77,40.09
BERT-Mini,19,81.90,47.26,59.94,48.65,21.05,29.39,26.32,11.90,16.39,28.12,12.93,17.71,40.00,14.00,20.74,60.00,4.48,8.33,51.57,22.41,31.25
BERT-Mini,84,85.37,52.24,64.81,50.57,25.73,34.11,36.84,22.22,27.72,37.31,17.01,23.36,44.44,28.00,34.36,60.00,31.34,41.18,55.65,30.91,39.75
BERT-Mini,82,83.33,54.73,66.07,52.94,26.32,35.16,36.14,23.81,28.71,28.95,14.97,19.73,42.19,27.00,32.93,51.52,25.37,34.00,53.07,30.91,39.07
BERT-Mini,68,86.99,53.23,66.05,59.52,29.24,39.22,35.90,22.22,27.45,24.36,12.93,16.89,50.00,25.00,33.33,68.00,25.37,36.96,56.16,30.30,39.36
BERT-Mini,80,86.32,50.25,63.52,51.85,24.56,33.33,40.91,21.43,28.12,27.69,12.24,16.98,43.94,29.00,34.94,55.56,29.85,38.83,54.99,29.19,38.13
BERT-Mini,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Mini,70,83.21,56.72,67.46,53.76,29.24,37.88,37.93,26.19,30.99,29.33,14.97,19.82,49.06,26.00,33.99,56.41,32.84,41.51,55.17,32.88,41.20
BERT-Mini,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Mini,72,85.71,50.75,63.75,53.66,25.73,34.78,42.47,24.60,31.16,29.51,12.24,17.31,46.43,26.00,33.33,65.79,37.31,47.62,57.34,30.30,39.65
BERT-Mini,98,85.71,50.75,63.75,53.42,22.81,31.97,40.30,21.43,27.98,29.85,13.61,18.69,54.24,32.00,40.25,59.38,28.36,38.38,57.31,29.43,38.89
BERT-Mini,74,84.80,52.74,65.03,52.33,26.32,35.02,36.25,23.02,28.16,24.42,14.29,18.03,38.46,20.00,26.32,73.91,25.37,37.78,52.65,29.31,37.66
BERT-Mini,7,96.00,11.94,21.24,38.46,5.85,10.15,23.81,3.97,6.80,17.65,2.04,3.66,17.65,3.00,5.13,0.00,0.00,0.00,39.13,5.54,9.71
BERT-Mini,76,84.62,49.25,62.26,55.13,25.15,34.54,33.33,20.63,25.49,29.85,13.61,18.69,45.45,25.00,32.26,52.78,28.36,36.89,53.83,28.57,37.33
BERT-Mini,5,90.00,13.43,23.38,37.93,6.43,11.00,6.90,1.59,2.58,22.22,2.72,4.85,14.29,1.00,1.87,100.00,1.49,2.94,40.35,5.67,9.94
BERT-Mini,9,92.31,35.82,51.61,34.72,14.62,20.58,13.24,7.14,9.28,16.67,6.12,8.96,25.00,3.00,5.36,0.00,0.00,0.00,41.40,14.53,21.51
BERT-Mini,90,88.50,49.75,63.69,55.88,22.22,31.80,46.97,24.60,32.29,36.67,14.97,21.26,49.15,29.00,36.48,58.06,26.87,36.73,59.95,29.31,39.37
BERT-Mini,78,84.68,52.24,64.62,55.00,25.73,35.06,35.14,20.63,26.00,30.16,12.93,18.10,55.17,32.00,40.51,70.97,32.84,44.90,57.67,30.54,39.94
BERT-Mini,92,88.03,51.24,64.78,54.79,23.39,32.79,36.11,20.63,26.26,27.27,12.24,16.90,54.72,29.00,37.91,65.71,34.33,45.10,57.45,29.43,38.93
BERT-Mini,94,85.04,53.73,65.85,55.70,25.73,35.20,39.71,21.43,27.84,24.68,12.93,16.96,55.17,32.00,40.51,64.52,29.85,40.82,56.82,30.79,39.94
BERT-Mini,96,86.67,51.74,64.80,50.67,22.22,30.89,40.58,22.22,28.72,26.67,13.61,18.02,51.72,30.00,37.97,59.38,28.36,38.38,55.71,29.43,38.52
BERT-Mini,48,85.12,51.24,63.98,52.22,27.49,36.02,24.39,15.87,19.23,15.79,10.20,12.40,29.63,16.00,20.78,75.00,13.43,22.78,46.26,25.86,33.18
BERT-Mini,39,87.39,48.26,62.18,57.75,23.98,33.88,34.67,20.63,25.87,17.72,10.20,12.95,30.00,6.00,10.00,100.00,4.48,8.57,52.09,23.15,32.06
BERT-Mini,42,83.12,63.68,72.11,45.63,27.49,34.31,31.78,26.98,29.18,19.57,12.24,15.06,25.53,12.00,16.33,80.00,11.94,20.78,48.15,30.42,37.28
BERT-Mini,37,86.73,48.76,62.42,54.12,26.90,35.94,37.80,24.60,29.81,19.57,12.24,15.06,39.22,20.00,26.49,50.00,19.40,27.96,50.33,27.83,35.84
BERT-Mini,40,79.59,58.21,67.24,47.25,25.15,32.82,28.57,23.81,25.97,14.91,12.24,13.45,24.44,11.00,15.17,100.00,1.49,2.94,43.54,27.09,33.40
BERT-Mini,35,94.03,31.34,47.01,68.75,19.30,30.14,28.57,11.11,16.00,15.71,7.48,10.14,32.00,8.00,12.80,57.14,11.94,19.75,50.18,16.87,25.25
BERT-Mini,46,83.19,49.25,61.88,57.47,29.24,38.76,30.12,19.84,23.92,25.00,11.56,15.81,38.60,22.00,28.03,75.00,22.39,34.48,52.53,28.08,36.60
BERT-Mini,33,87.96,47.26,61.49,46.67,24.56,32.18,24.75,19.84,22.03,13.19,8.16,10.08,11.76,2.00,3.42,0.00,0.00,0.00,43.24,21.67,28.88
BERT-Mini,44,87.39,51.74,65.00,55.17,28.07,37.21,31.25,19.84,24.27,21.05,13.61,16.53,30.00,18.00,22.50,52.63,14.93,23.26,48.91,27.71,35.38
BERT-Mini,31,86.21,62.19,72.25,53.85,28.65,37.40,25.45,22.22,23.73,18.49,15.65,16.95,25.93,7.00,11.02,100.00,8.96,16.44,47.59,29.31,36.28
BERT-Mini,29,87.74,46.27,60.59,38.82,19.30,25.78,25.68,15.08,19.00,17.50,9.52,12.33,34.48,10.00,15.50,87.50,10.45,18.67,46.07,21.67,29.48
BERT-Mini,58,86.07,52.24,65.02,56.63,27.49,37.01,44.44,25.40,32.32,29.27,16.33,20.96,54.84,34.00,41.98,58.82,29.85,39.60,57.58,32.27,41.36
BERT-Mini,21,89.47,42.29,57.43,44.58,21.64,29.13,31.25,19.84,24.27,18.29,10.20,13.10,26.67,8.00,12.31,40.00,2.99,5.56,45.87,21.18,28.98
BERT-Mini,54,83.33,44.78,58.25,52.11,21.64,30.58,27.27,16.67,20.69,23.21,8.84,12.81,36.54,19.00,25.00,70.00,20.90,32.18,50.52,23.89,32.44
BERT-Mini,23,88.07,47.76,61.94,57.69,26.32,36.14,32.91,20.63,25.37,18.68,11.56,14.29,20.83,5.00,8.06,100.00,4.48,8.57,50.00,23.65,32.11
BERT-Mini,56,75.54,52.24,61.76,51.11,26.90,35.25,27.37,20.63,23.53,18.95,12.24,14.88,27.50,11.00,15.71,54.55,8.96,15.38,45.11,26.11,33.07
BERT-Mini,25,85.27,54.73,66.67,42.86,22.81,29.77,21.98,15.87,18.43,11.58,7.48,9.09,15.00,3.00,5.00,83.33,7.46,13.70,43.52,23.15,30.23
BERT-Mini,50,85.00,50.75,63.55,59.74,26.90,37.10,37.08,26.19,30.70,18.45,12.93,15.20,33.33,16.00,21.62,73.68,20.90,32.56,50.44,28.33,36.28
BERT-Mini,27,88.51,38.31,53.47,45.71,18.71,26.56,23.68,14.29,17.82,11.39,6.80,8.52,31.03,9.00,13.95,100.00,4.48,8.57,43.02,18.35,25.73
BERT-Mini,52,85.59,47.26,60.90,51.81,25.15,33.86,34.18,21.43,26.34,22.78,12.24,15.93,48.28,28.00,35.44,68.42,19.40,30.23,52.21,27.59,36.10
BERT-Mini,38,86.61,54.73,67.07,55.29,27.49,36.72,29.17,22.22,25.23,19.77,11.56,14.59,39.53,17.00,23.78,66.67,20.90,31.82,50.87,28.69,36.69
BERT-Mini,49,86.72,55.22,67.48,55.43,29.82,38.78,38.10,25.40,30.48,20.39,14.29,16.80,32.65,16.00,21.48,71.43,7.46,13.51,50.97,29.06,37.02
BERT-Mini,32,87.41,58.71,70.24,44.35,29.82,35.66,27.72,22.22,24.67,18.58,14.97,16.58,19.23,5.00,7.94,75.00,8.96,16.00,45.98,28.33,35.06
BERT-Mini,47,83.61,50.75,63.16,62.20,29.82,40.32,35.62,20.63,26.13,16.67,10.88,13.17,27.78,10.00,14.71,66.67,17.91,28.24,50.82,26.72,35.03
BERT-Mini,30,86.21,49.75,63.09,52.50,24.56,33.47,36.11,20.63,26.26,21.74,14.29,17.24,29.03,9.00,13.74,100.00,5.97,11.27,50.89,24.88,33.42
BERT-Mini,45,81.20,53.73,64.67,55.42,26.90,36.22,29.47,22.22,25.34,20.95,14.97,17.46,26.53,13.00,17.45,64.71,16.42,26.19,47.30,28.08,35.24
BERT-Mini,36,85.47,49.75,62.89,50.00,27.49,35.47,27.27,21.43,24.00,21.11,12.93,16.03,21.95,9.00,12.77,63.64,10.45,17.95,46.24,25.74,33.07
BERT-Mini,43,83.94,57.21,68.05,49.45,26.32,34.35,33.01,26.98,29.69,21.62,16.33,18.60,28.30,15.00,19.61,83.33,7.46,13.70,47.50,29.31,36.25
BERT-Mini,34,90.10,45.27,60.26,61.43,25.15,35.68,35.14,20.63,26.00,19.57,12.24,15.06,22.50,9.00,12.86,62.50,7.46,13.33,49.87,23.65,32.08
BERT-Mini,41,85.05,45.27,59.09,54.05,23.39,32.65,27.50,17.46,21.36,17.44,10.20,12.88,28.57,14.00,18.79,50.00,2.99,5.63,46.00,22.66,30.36
BERT-Mini,59,83.90,49.25,62.07,62.50,29.24,39.84,38.46,23.81,29.41,23.26,13.61,17.17,45.00,18.00,25.71,88.89,11.94,21.05,54.74,27.71,36.79
BERT-Mini,28,85.22,48.76,62.03,50.00,26.32,34.48,31.40,21.43,25.47,25.00,14.97,18.72,28.30,15.00,19.61,46.15,8.96,15.00,47.87,26.23,33.89
BERT-Mini,51,84.21,55.72,67.07,55.42,26.90,36.22,30.34,21.43,25.12,18.28,11.56,14.17,44.19,19.00,26.57,78.95,22.39,34.88,51.30,29.06,37.11
BERT-Mini,24,87.27,47.76,61.74,50.65,22.81,31.45,24.71,16.67,19.91,16.13,10.20,12.50,33.33,6.00,10.17,100.00,2.99,5.80,46.49,22.04,29.91
BERT-Mini,53,84.03,49.75,62.50,57.14,28.07,37.65,43.08,22.22,29.32,22.09,12.93,16.31,38.78,19.00,25.50,78.57,16.42,27.16,53.96,27.71,36.62
BERT-Mini,26,85.71,53.73,66.06,48.94,26.90,34.72,24.51,19.84,21.93,14.63,11.56,12.92,18.37,9.00,12.08,71.43,8.96,15.92,42.12,25.99,32.14
BERT-Mini,55,81.88,56.22,66.67,58.89,30.99,40.61,31.46,22.22,26.05,16.16,10.88,13.01,31.25,10.00,15.15,75.00,4.48,8.45,49.34,27.46,35.28
BERT-Mini,20,96.88,30.85,46.79,63.46,19.30,29.60,27.45,11.11,15.82,20.75,7.48,11.00,37.50,3.00,5.56,100.00,1.49,2.94,54.15,15.27,23.82
BERT-Mini,57,84.38,53.73,65.65,52.17,28.07,36.50,36.59,23.81,28.85,25.53,16.33,19.92,43.75,21.00,28.38,58.62,25.37,35.42,52.43,30.54,38.60
BERT-Mini,22,88.18,48.26,62.38,45.56,23.98,31.42,22.11,16.67,19.00,14.89,9.52,11.62,30.00,6.00,10.00,0.00,0.00,0.00,43.45,22.04,29.25
BERT-Mini,63,86.09,49.25,62.66,58.97,26.90,36.95,26.37,19.05,22.12,20.55,10.20,13.64,34.88,15.00,20.98,61.54,11.94,20.00,50.12,25.49,33.80
BERT-Mini,16,89.87,35.32,50.71,43.94,16.96,24.47,23.29,13.49,17.09,17.65,8.84,11.78,27.50,11.00,15.71,40.00,5.97,10.39,42.86,17.86,25.21
BERT-Mini,89,82.17,52.74,64.24,51.25,23.98,32.67,33.77,20.63,25.62,31.43,14.97,20.28,44.26,27.00,33.54,65.71,34.33,45.10,54.20,30.17,38.77
BERT-Mini,61,87.70,53.23,66.25,58.14,29.24,38.91,37.35,24.60,29.67,23.08,14.29,17.65,30.91,17.00,21.94,51.52,25.37,34.00,51.70,29.93,37.91
BERT-Mini,14,92.11,34.83,50.54,39.73,16.37,23.19,15.58,9.52,11.82,14.55,5.44,7.92,21.43,3.00,5.26,0.00,0.00,0.00,40.67,14.90,21.81
BERT-Mini,67,85.04,53.73,65.85,57.14,30.41,39.69,38.55,25.40,30.62,30.67,15.65,20.72,42.86,24.00,30.77,68.00,25.37,36.96,56.02,31.53,40.35
BERT-Mini,12,93.67,36.82,52.86,62.07,21.05,31.44,22.95,11.11,14.97,14.52,6.12,8.61,33.33,5.00,8.70,0.00,0.00,0.00,50.18,17.00,25.39
BERT-Mini,65,86.67,51.74,64.80,63.41,30.41,41.11,36.99,21.43,27.14,23.61,11.56,15.53,42.62,26.00,32.30,61.54,23.88,34.41,55.76,29.80,38.84
BERT-Mini,10,93.62,43.78,59.66,48.15,22.81,30.95,14.63,9.52,11.54,18.33,8.16,11.30,8.33,1.00,1.79,0.00,0.00,0.00,45.76,18.72,26.57
BERT-Mini,69,82.81,52.74,64.44,54.74,30.41,39.10,41.10,23.81,30.15,29.17,14.29,19.18,44.26,27.00,33.54,56.10,34.33,42.59,55.11,31.90,40.41
BERT-Mini,83,87.80,53.73,66.67,54.55,24.56,33.87,44.12,23.81,30.93,22.67,11.56,15.32,44.44,28.00,34.36,52.50,31.34,39.25,55.16,30.30,39.11
BERT-Mini,81,87.04,46.77,60.84,59.15,24.56,34.71,41.38,19.05,26.09,30.19,10.88,16.00,44.26,27.00,33.54,56.25,26.87,36.36,57.70,27.22,36.99
BERT-Mini,18,98.00,24.38,39.04,68.29,16.37,26.42,33.33,11.11,16.67,15.69,5.44,8.08,23.08,3.00,5.31,100.00,1.49,2.94,52.02,12.68,20.40
BERT-Mini,87,88.03,51.24,64.78,57.14,23.39,33.20,37.68,20.63,26.67,28.77,14.29,19.09,46.15,24.00,31.58,67.86,28.36,40.00,56.97,28.69,38.17
BERT-Mini,85,87.50,52.24,65.42,56.76,24.56,34.29,37.33,22.22,27.86,34.43,14.29,20.19,47.46,28.00,35.22,57.50,34.33,42.99,57.58,30.42,39.81
BERT-Mini,6,92.59,12.44,21.93,45.83,6.43,11.28,12.00,2.38,3.97,14.29,2.04,3.57,28.57,2.00,3.74,0.00,0.00,0.00,42.31,5.42,9.61
BERT-Mini,75,81.20,53.73,64.67,52.69,28.65,37.12,36.71,23.02,28.29,29.33,14.97,19.82,44.07,26.00,32.70,58.06,26.87,36.73,53.62,31.03,39.31
BERT-Mini,4,100.00,2.99,5.80,50.00,1.75,3.39,16.67,0.79,1.52,20.00,0.68,1.32,33.33,1.00,1.94,0.00,0.00,0.00,42.86,1.48,2.86
BERT-Mini,77,84.00,52.24,64.42,57.32,27.49,37.15,37.50,21.43,27.27,28.95,14.97,19.73,47.37,27.00,34.39,70.37,28.36,40.43,56.26,30.42,39.49
BERT-Mini,71,82.79,50.25,62.54,51.76,25.73,34.38,40.62,20.63,27.37,24.18,14.97,18.49,38.00,19.00,25.33,88.24,22.39,35.71,52.91,27.96,36.58
BERT-Mini,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Mini,99,86.44,50.75,63.95,54.17,22.81,32.10,40.30,21.43,27.98,30.77,13.61,18.87,50.85,30.00,37.74,59.38,28.36,38.38,57.38,29.19,38.69
BERT-Mini,73,84.13,52.74,64.83,50.00,26.90,34.98,33.33,22.22,26.67,18.84,8.84,12.04,40.00,26.00,31.52,70.00,31.34,43.30,51.50,29.56,37.56
BERT-Mini,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Mini,95,87.39,51.74,65.00,56.34,23.39,33.06,42.86,21.43,28.57,27.14,12.93,17.51,55.93,33.00,41.51,62.50,29.85,40.40,58.70,29.93,39.64
BERT-Mini,97,85.83,51.24,64.17,52.00,22.81,31.71,40.91,21.43,28.12,28.99,13.61,18.52,52.63,30.00,38.22,63.33,28.36,39.18,57.07,29.31,38.73
BERT-Mini,91,86.78,52.24,65.22,54.05,23.39,32.65,35.06,21.43,26.60,29.41,13.61,18.60,50.00,29.00,36.71,65.62,31.34,42.42,56.28,29.80,38.97
BERT-Mini,8,96.97,31.84,47.94,45.16,16.37,24.03,20.34,9.52,12.97,9.62,3.40,5.03,13.33,2.00,3.48,0.00,0.00,0.00,43.36,13.67,20.79
BERT-Mini,93,88.79,51.24,64.98,52.11,21.64,30.58,46.77,23.02,30.85,28.36,12.93,17.76,50.85,30.00,37.74,62.16,34.33,44.23,58.50,29.68,39.38
BERT-Mini,79,84.13,52.74,64.83,49.40,23.98,32.28,34.62,21.43,26.47,26.92,14.29,18.67,41.67,25.00,31.25,55.26,31.34,40.00,52.05,29.68,37.80
BERT-Medium,37,84.87,50.25,63.12,44.94,23.39,30.77,30.34,21.43,25.12,28.43,19.05,22.81,34.62,18.00,23.68,68.42,19.40,30.23,48.51,27.96,35.47
BERT-Medium,42,82.61,47.26,60.13,50.00,20.47,29.05,47.92,18.25,26.44,39.36,25.17,30.71,57.41,31.00,40.26,66.67,38.81,49.06,58.81,30.42,40.10
BERT-Medium,35,85.96,48.76,62.22,51.76,25.15,33.85,34.44,24.60,28.70,27.18,19.73,22.86,31.58,12.00,17.39,38.89,10.45,16.47,49.11,27.09,34.92
BERT-Medium,40,83.33,49.75,62.31,61.43,25.15,35.68,44.83,20.63,28.26,35.80,19.73,25.44,57.50,23.00,32.86,65.38,25.37,36.56,60.25,29.31,39.44
BERT-Medium,9,95.06,38.31,54.61,45.00,15.79,23.38,21.69,14.29,17.22,20.99,11.56,14.91,19.15,9.00,12.24,15.79,4.48,6.98,40.70,18.60,25.53
BERT-Medium,33,89.43,54.73,67.90,56.84,31.58,40.60,41.25,26.19,32.04,35.14,17.69,23.53,33.33,13.00,18.71,75.00,13.43,22.78,57.92,30.17,39.68
BERT-Medium,46,85.95,51.74,64.60,56.52,22.81,32.50,51.72,23.81,32.61,40.58,19.05,25.93,70.00,28.00,40.00,67.50,40.30,50.47,64.48,31.53,42.35
BERT-Medium,31,83.19,46.77,59.87,47.19,24.56,32.31,52.83,22.22,31.28,28.57,19.05,22.86,20.00,7.00,10.37,60.00,4.48,8.33,51.40,24.88,33.53
BERT-Medium,44,91.80,55.72,69.35,53.61,30.41,38.81,38.54,29.37,33.33,28.07,20.41,23.63,32.84,22.00,26.35,44.00,16.42,23.91,51.06,32.51,39.73
BERT-Medium,48,82.44,53.73,65.06,54.88,26.32,35.57,49.28,26.98,34.87,38.46,24.49,29.93,54.72,29.00,37.91,70.37,28.36,40.43,59.60,33.37,42.79
BERT-Medium,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Medium,3,92.50,18.41,30.71,36.36,9.36,14.88,13.33,4.76,7.02,13.89,3.40,5.46,53.33,8.00,13.91,0.00,0.00,0.00,38.92,8.87,14.44
BERT-Medium,5,89.58,21.39,34.54,31.11,8.19,12.96,18.60,6.35,9.47,14.81,2.72,4.60,0.00,0.00,0.00,25.00,1.49,2.82,39.77,8.62,14.17
BERT-Medium,39,85.05,45.27,59.09,47.78,25.15,32.95,43.33,20.63,27.96,27.78,19.73,23.07,33.33,18.00,23.38,63.64,10.45,17.95,50.00,26.35,34.52
BERT-Medium,7,93.62,21.89,35.48,50.00,12.87,20.47,30.00,11.90,17.05,20.37,7.48,10.95,9.68,3.00,4.58,12.50,1.49,2.67,41.03,11.82,18.36
BERT-Medium,54,89.92,57.71,70.30,54.95,29.24,38.17,44.29,24.60,31.63,28.12,24.49,26.18,29.27,12.00,17.02,75.00,4.48,8.45,53.56,30.54,38.90
BERT-Medium,21,97.33,36.32,52.90,43.94,16.96,24.47,41.86,14.29,21.30,7.35,3.40,4.65,36.36,16.00,22.22,40.00,2.99,5.56,47.51,17.61,25.70
BERT-Medium,56,86.05,55.22,67.27,59.78,32.16,41.83,56.67,26.98,36.56,36.90,21.77,27.38,65.00,39.00,48.75,64.29,26.87,37.89,63.58,35.59,45.63
BERT-Medium,23,90.18,50.25,64.54,52.75,28.07,36.64,25.77,19.84,22.42,16.49,10.88,13.11,19.44,7.00,10.29,25.00,1.49,2.82,45.31,24.38,31.71
BERT-Medium,50,80.95,50.75,62.39,55.00,25.15,34.51,45.07,25.40,32.49,31.00,21.09,25.10,42.86,21.00,28.19,61.29,28.36,38.78,54.49,30.54,39.14
